,NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,PROP_FREIGHT,CHARTER_PAX,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,OP_EXPENSES,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER,Unnamed: 18
426,-354867.49,-536851.74,31444.3,15965.89,200873.21,,6619.22,257224.62,355516.65,62697.2,134712.67,76489.36,794076.35,UA,United Air Lines Inc.,P,2020,2,
427,-350737.0,-226709.0,21698.0,-214.0,3620.0,7143.0,-4366.0,57975.0,134047.0,15075.0,22882.0,50449.0,284684.0,DL,Delta Air Lines Inc.,P,2020,2,
428,-346143.08,-590014.78,247791.28,0.0,149.44,627.71,28225.42,304771.56,292650.02,114177.9,78710.6,155729.05,894786.34,B6,JetBlue Airways,D,2020,3,
429,-312715.93,-188723.72,663616.15,12420.81,65404.14,3137.23,42551.71,806282.74,378126.99,66381.62,133347.63,127625.05,995006.46,UA,United Air Lines Inc.,P,2020,1,
430,-308802.83,-686961.55,150789.63,0.0,45.43,196.3,41403.95,202232.4,276525.45,105284.96,83533.84,147396.45,889193.95,B6,JetBlue Airways,D,2020,2,
431,-304085.1,-304085.1,523161.3,11011.93,58754.42,0.0,18818.66,733984.68,361654.94,132444.62,91386.2,118181.29,1038069.79,AA,American Airlines Inc.,A,2020,1,
432,-263849.1,-156223.37,1077241.71,0.0,41.9,224.93,60561.98,1237983.68,550701.32,170040.34,134644.48,253606.02,1394207.05,B6,JetBlue Airways,D,2020,1,
433,-253002.0,-642735.0,194519.0,8487.0,18840.0,6294.0,150280.0,411813.0,279861.0,87834.0,73073.0,121235.0,1054548.0,AS,Alaska Airlines Inc.,D,2020,2,
434,-248943.27,-108148.62,1031155.84,11682.88,95194.36,965.38,38527.2,1214966.73,477499.02,104595.76,187519.87,189588.68,1323115.35,UA,United Air Lines Inc.,A,2020,1,
435,-240986.02,-240986.02,150071.06,2436.18,18187.44,0.0,5433.14,222784.52,115962.65,50985.78,32305.68,43213.06,463770.55,AA,American Airlines Inc.,L,2020,3,
436,-238927.53,-238927.53,38291.53,7317.4,37672.43,0.0,2172.89,99841.37,91809.17,43995.97,26325.32,34735.84,338768.89,AA,American Airlines Inc.,A,2020,2,
437,-220079.72,-449084.75,171170.15,6097.82,165709.45,,11937.85,365051.47,261436.23,46305.62,84036.96,123443.6,814136.22,UA,United Air Lines Inc.,A,2020,3,
438,-218858.21,-321505.13,93795.82,26336.81,153529.24,,6248.05,282726.44,256643.64,33247.09,77373.8,84469.07,604231.57,UA,United Air Lines Inc.,P,2020,3,
