"YEAR","MONTH","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","EMPFULL","EMPPART","EMPTOTAL","EMPFTE",
2020,9,20107,"FX","Federal Express Corporation","FX","Federal Express Corporation",3,3,191635,63049,254684,223160,
2020,9,20368,"G4","Allegiant Air","G4","Allegiant Air",3,3,3976,414,4390,4183,
2020,9,20500,"G7","GoJet Airlines LLC d/b/a United Express","G7","GoJet Airlines LLC d/b/a United Express",2,2,943,0,943,943,
2020,9,20166,"GFQ","Gulf And Caribbean Cargo","GFQ","Gulf And Caribbean Cargo",1,1,117,0,117,117,
2020,9,19690,"HA","Hawaiian Airlines Inc.","HA","Hawaiian Airlines Inc.",3,3,5846,1241,7087,6467,
2020,9,20370,"KAQ","Kalitta Air LLC","KAQ","Kalitta Air LLC",3,3,2136,7,2143,2140,
2020,9,21629,"KD","Western Global","KD","Western Global",2,2,392,2,394,393,
2020,9,21634,"KH","Aloha Air Cargo","KH","Aloha Air Cargo",2,2,394,79,473,434,
2020,9,20372,"KLQ","Kalitta Charters II","KLQ","Kalitta Charters II",1,1,160,0,160,160,
2020,9,20169,"L2","Lynden Air Cargo Airlines","L2","Lynden Air Cargo Airlines",2,2,212,1,213,213,
2020,9,20151,"M6","Amerijet International","M6","Amerijet International",2,2,748,0,748,748,
2020,9,20398,"MQ","Envoy Air","MQ","Envoy Air",3,3,11966,3992,15958,13962,
2020,9,20405,"N8","National Air Cargo Group Inc d/ba National Airlines","N8","National Air Cargo Group Inc d/ba National Airlines",2,2,229,0,229,229,
2020,9,20108,"NC","Northern Air Cargo Inc.","NC","Northern Air Cargo Inc.",1,1,418,6,424,421,
2020,9,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines",3,3,8617,276,8893,8755,
2020,9,20397,"OH","PSA Airlines Inc.","OH","PSA Airlines Inc.",2,2,4618,0,4618,4618,
2020,9,20304,"OO","SkyWest Airlines Inc.","OO","SkyWest Airlines Inc.",3,3,14649,5006,19655,17152,
2020,9,20177,"PFQ","Asia Pacific","PFQ","Asia Pacific",1,1,75,1,76,76,
2020,9,21402,"PM","Prescott Support Company, Inc.","PM","Prescott Support Company, Inc.",1,4,19,25,44,32,
2020,9,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways",3,3,231,0,231,231,
2020,9,19687,"QX","Horizon Air","QX","Horizon Air",2,2,3262,713,3975,3619,
2020,9,19998,"SI","Sierra Pacific Airlines","SI","Sierra Pacific Airlines",1,4,14,29,43,29,
2020,9,20422,"SY","Sun Country Airlines d/b/a MN Airlines","SY","Sun Country Airlines d/b/a MN Airlines",2,2,1491,141,1632,1562,
2020,9,20447,"U7","USA Jet Airlines Inc.","U7","USA Jet Airlines Inc.",2,2,374,0,374,374,
2020,9,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.",3,3,70310,6911,77221,73766,
2020,9,20195,"WI","Sky Lease Cargo","WI","Sky Lease Cargo",2,2,288,51,339,314,
2020,9,19393,"WN","Southwest Airlines Co.","WN","Southwest Airlines Co.",3,3,56834,2194,59028,57931,
2020,9,20377,"X9","Omni Air International LLC","X9","Omni Air International LLC",2,2,1187,2,1189,1188,
2020,9,20207,"XP","XTRA Airways","XP","XTRA Airways",1,4,26,8,34,30,
2020,9,20378,"YV","Mesa Airlines Inc.","YV","Mesa Airlines Inc.",2,2,2920,13,2933,2927,
2020,9,20452,"YX","Republic Airline","YX","Republic Airline",3,3,5708,299,6007,5858,
