"NET_INCOME","OP_PROFIT_LOSS","TRANS_REV_PAX","MAIL","PROP_FREIGHT","CHARTER_PAX","TRANS_REVENUE","OP_REVENUES","FLYING_OPS","MAINTENANCE","PAX_SERVICE","AIRCFT_SERVICES","OP_EXPENSES","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","REGION","YEAR","QUARTER",
-16632.00,-20484.00,75893.00,0.00,-228.00,369.00,0.00,82965.00,39196.00,10917.00,11044.00,16835.00,103448.00,"AS","Alaska Airlines Inc.","L",2020,1,
-16147.51,-14600.83,62908.27,0.00,0.00,0.00,2.56,62910.83,22242.54,41799.75,3909.45,3561.63,77511.66,"G7","GoJet Airlines LLC d/b/a United Express","D",2020,1,
-15038.89,-15038.89,1179459.67,5484.41,28830.53,0.00,30993.45,1447293.70,490186.70,186198.80,128273.69,165569.69,1462332.58,"AA","American Airlines Inc.","L",2020,1,
-14066.11,-17361.70,208755.66,0.00,0.00,0.00,0.00,208754.67,112791.61,64774.47,17166.88,8676.24,226116.36,"OH","PSA Airlines Inc.","D",2020,1,
-13813.53,-128728.72,133391.73,0.00,0.00,0.00,5.87,133505.37,99853.21,42158.07,9113.71,39863.41,262234.09,"MQ","Envoy Air","D",2020,2,
-13389.07,-10657.34,2078.11,0.00,0.00,19.95,0.00,3331.15,2667.58,1089.91,0.00,0.00,13988.49,"3M","Silver Airways","D",2020,2,
-12777.00,-29362.00,15123.00,0.00,453.00,69.00,130.00,19806.00,18681.00,4056.00,6371.00,10514.00,49168.00,"WN","Southwest Airlines Co.","L",2020,3,
-12400.58,-61818.21,129597.72,0.00,0.00,0.00,0.00,129597.72,97768.79,39043.60,12074.50,7535.25,191415.93,"OH","PSA Airlines Inc.","D",2020,2,
-11757.90,-27084.03,9103.15,0.00,2.72,446.49,2474.68,12612.60,12329.49,4218.31,3694.61,7814.22,39696.63,"B6","JetBlue Airways","L",2020,2,
-11412.17,-6616.67,0.00,0.00,0.00,1444.81,0.00,6553.77,7817.13,1985.07,815.25,619.38,13170.43,"N8","National Air Cargo Group Inc d/ba National Airlines","D",2020,3,
-11342.50,-11342.50,4056.90,8134.58,41461.18,0.00,489.08,57233.69,33211.17,7025.97,4173.04,5635.48,68576.20,"AA","American Airlines Inc.","P",2020,2,
-9617.36,-3363.40,0.00,0.00,0.00,2058.21,0.00,64607.88,27693.83,32233.05,269.70,2065.49,67971.27,"8C","Air Transport International","D",2020,2,
-9566.39,-4801.15,0.00,0.00,0.00,1812.46,0.00,1812.57,897.80,437.69,324.55,2222.02,6613.72,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","D",2020,3,
-9437.44,-9270.99,0.00,4511.68,1691.13,0.00,1198.49,15222.89,6999.40,9864.09,0.00,2272.10,24493.88,"L2","Lynden Air Cargo Airlines","D",2020,1,
-8863.91,-8868.43,36169.55,0.00,0.00,0.00,6.24,36175.79,12030.50,20619.02,4857.15,3204.74,45044.22,"CP","Compass Airlines","D",2020,1,
-8785.21,-8789.28,98469.09,0.00,0.00,0.00,0.00,98469.09,39550.45,32186.65,7180.52,4782.68,107258.37,"EV","ExpressJet Airlines LLC","D",2020,1,
-8575.00,-23410.00,7562.00,0.00,-102.00,245.00,0.00,8676.00,10880.00,3415.00,2841.00,4713.00,32086.00,"AS","Alaska Airlines Inc.","L",2020,2,
-8294.56,-8232.08,,0.00,0.00,0.00,76130.88,82707.96,3901.38,1658.61,0.00,275.68,90940.04,"U7","USA Jet Airlines Inc.","D",2020,1,
-8181.65,-16622.66,19568.70,0.00,0.00,0.00,1.92,19570.62,15782.83,11921.74,544.82,2161.28,36193.28,"G7","GoJet Airlines LLC d/b/a United Express","D",2020,2,
-7791.86,-5023.98,15634.25,0.00,0.00,-2.38,0.00,18756.66,8411.04,2810.21,,,23780.64,"3M","Silver Airways","D",2020,1,
-6884.86,-6403.72,4645.78,0.00,71.07,3195.01,0.00,7915.36,3675.69,1585.07,0.00,0.00,14319.09,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","I",2020,1,
-5691.49,-7858.13,0.00,5146.74,2236.66,0.00,696.64,14600.82,6123.68,8735.06,0.00,2320.29,22458.96,"L2","Lynden Air Cargo Airlines","D",2020,2,
-5530.34,-5486.35,0.00,0.00,30936.22,0.00,0.00,33970.49,2137.91,1119.46,0.00,91.18,39456.84,"U7","USA Jet Airlines Inc.","D",2020,2,
-5513.64,-31516.34,19146.30,104.70,2649.53,7669.55,250.16,33197.10,21285.33,4333.14,4070.58,6192.92,64713.44,"SY","Sun Country Airlines d/b/a MN Airlines","D",2020,2,
-5364.00,-56189.00,,0.00,100809.00,,172704.00,292169.00,27880.00,12225.00,,82124.00,348358.00,"FX","Federal Express Corporation","L",2020,3,
-5222.42,-5046.34,830.36,0.00,0.00,7533.96,0.00,8621.56,5824.27,3011.84,0.00,1837.50,13667.90,"2HQ","Elite Airways LLC","D",2020,2,
-4758.72,-12006.36,9343.70,0.00,0.00,0.00,63.12,19292.24,13266.14,2304.49,2421.08,3320.91,31298.60,"NK","Spirit Air Lines","L",2020,3,
-4332.83,-10268.85,2087.38,0.00,0.00,0.00,-0.70,4155.88,5999.16,1118.32,1237.42,1309.05,14424.72,"NK","Spirit Air Lines","L",2020,2,
-4074.83,25345.55,298092.54,0.00,13.67,0.00,19762.11,350471.21,133510.22,39709.54,29659.18,56895.46,325125.66,"B6","JetBlue Airways","L",2020,1,
-3913.48,7920.73,0.00,,26464.92,0.00,0.00,52305.18,18756.64,22293.78,0.00,553.13,44384.45,"ABX","ABX Air Inc","D",2020,1,
-3864.13,-13004.68,19238.29,0.00,0.00,0.00,3.40,19241.69,14740.68,7476.83,1603.33,2352.52,32246.37,"G7","GoJet Airlines LLC d/b/a United Express","D",2020,3,
-3723.21,-4014.76,0.00,0.00,0.00,147.40,0.00,147.40,3.30,123.64,0.00,71.12,4162.16,"XP","XTRA Airways","D",2020,2,
-3296.47,-3291.64,0.00,0.00,0.00,4664.95,0.00,4664.95,4612.87,897.01,405.15,362.74,7956.59,"N8","National Air Cargo Group Inc d/ba National Airlines","D",2020,1,
-3280.61,-3275.78,0.00,0.00,0.00,0.00,0.00,25121.93,22556.98,1889.30,0.00,1661.98,28397.71,"N8","National Air Cargo Group Inc d/ba National Airlines","I",2020,1,
-3227.79,22034.92,132812.32,347.89,4739.94,0.00,10424.45,156966.42,35395.77,11791.08,19174.33,22737.25,134931.50,"HA","Hawaiian Airlines Inc.","P",2020,1,
-2708.00,-3143.00,104588.00,0.00,1120.00,40.00,886.00,121514.00,49259.00,13940.00,10858.00,24725.00,124657.00,"WN","Southwest Airlines Co.","L",2020,1,
-2677.48,-2775.88,2988.38,0.00,0.00,0.00,0.13,2990.93,2237.02,944.47,204.18,893.06,5766.81,"MQ","Envoy Air","L",2020,2,
-2643.69,-5509.24,35969.58,0.00,0.00,0.00,206.92,73252.69,37983.35,5102.88,5023.67,7100.69,78761.92,"NK","Spirit Air Lines","L",2020,1,
-2565.23,-10877.29,5648.98,0.00,0.00,0.00,0.00,8287.97,4989.46,1938.45,0.00,0.00,19165.27,"3M","Silver Airways","D",2020,3,
-2523.01,-2461.21,,,,,,8264.04,3425.52,2966.16,,,10725.25,"KLQ","Kalitta Charters II","D",2020,1,
-2464.72,-1589.18,4945.42,0.00,0.00,-0.75,0.00,5933.10,2660.58,888.92,,,7522.28,"3M","Silver Airways","I",2020,1,
-2296.87,-2277.46,3762.60,0.00,0.00,0.00,0.26,3764.42,2200.39,1056.56,186.41,973.73,6041.88,"MQ","Envoy Air","L",2020,3,
-2249.80,-2249.80,0.00,0.00,-7946.08,0.00,-375.00,-8321.08,-3108.62,-2802.41,0.00,0.00,-6071.28,"1TQ","Rhoades Aviation dba Transair","D",2020,3,
-2102.48,-2048.52,0.00,0.00,0.00,4324.11,0.00,6658.90,5131.95,1117.80,561.59,357.53,8707.42,"N8","National Air Cargo Group Inc d/ba National Airlines","D",2020,2,
-2101.47,-2110.41,4459.25,0.00,0.00,0.00,2.58,4461.83,2735.18,2391.00,319.24,288.76,6572.24,"CP","Compass Airlines","D",2020,2,
-1762.64,-1774.08,0.00,6618.25,9366.42,0.00,7930.12,26043.85,3532.33,4432.23,0.00,1884.34,27817.93,"KH","Aloha Air Cargo","D",2020,1,
-1707.91,-2080.37,154.93,7814.75,2476.02,73.66,226.96,11708.22,5130.48,3778.93,,,13788.59,"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","D",2020,1,
-1677.62,-1677.62,0.00,0.00,0.00,245.44,1779.10,2929.59,1834.28,563.88,0.00,0.00,4607.20,"0WQ","Avjet Corporation","D",2020,2,
-1594.70,-1461.68,0.00,0.00,0.00,405.14,0.00,63532.26,26443.95,31362.13,41.10,1897.64,64993.94,"8C","Air Transport International","D",2020,3,
-1507.15,-1145.81,,22885.35,27504.24,,,50389.59,17695.24,14323.70,,5943.87,51535.41,"KAQ","Kalitta Air LLC","D",2020,3,
-1469.98,-1383.51,628.48,0.00,0.00,6498.78,0.00,7369.36,4110.88,1601.34,0.00,1343.41,8752.87,"2HQ","Elite Airways LLC","D",2020,1,
-1375.32,-1094.72,213.46,0.00,0.00,2.05,0.00,342.18,274.01,111.96,0.00,0.00,1436.89,"3M","Silver Airways","I",2020,2,
-1147.29,23981.12,0.00,0.00,135679.01,52405.39,0.00,452567.48,192528.32,94312.29,10482.29,56553.63,428586.35,"5Y","Atlas Air Inc.","I",2020,3,
-1111.82,-1103.45,,0.00,0.00,0.00,10204.78,11086.39,522.95,222.32,0.00,36.95,12189.84,"U7","USA Jet Airlines Inc.","I",2020,1,
-1097.92,-1028.18,0.00,0.00,0.00,0.00,0.00,45747.00,29074.73,5552.50,0.00,3963.44,46775.17,"KD","Western Global","I",2020,1,
-895.00,8088.00,352171.00,454.00,25530.00,8216.00,7586.00,456540.00,183036.00,40870.00,49397.00,90718.00,448452.00,"DL","Delta Air Lines Inc.","P",2020,1,
-870.98,-810.11,587.72,0.00,8.99,404.19,0.00,1001.34,465.00,200.52,0.00,0.00,1811.45,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","D",2020,1,
-861.60,-865.27,1828.29,0.00,0.00,0.00,1.06,1829.35,1121.42,980.31,130.89,118.39,2694.62,"CP","Compass Airlines","L",2020,2,
-851.37,-2365.74,353.68,0.00,0.00,0.00,444.44,1535.24,2817.72,220.46,262.06,237.65,3900.99,"F9","Frontier Airlines Inc.","L",2020,3,
-830.00,-359.98,0.00,0.00,20865.73,0.00,0.00,29357.90,11753.40,5136.06,,1260.44,29717.88,"M6","Amerijet International","D",2020,1,
-774.23,-778.35,0.00,0.00,0.00,0.00,0.00,2751.07,2302.86,125.19,0.00,0.00,3529.42,"GFQ","Gulf And Caribbean Cargo","I",2020,1,
-608.95,-1404.37,1583.09,0.00,0.00,0.00,18.81,1601.90,1166.69,1089.78,162.68,47.77,3006.27,"OO","SkyWest Airlines Inc.","L",2020,2,
-595.83,-595.83,0.00,0.00,0.00,1263.71,667.86,4815.42,2403.22,857.51,0.00,0.00,5411.25,"0WQ","Avjet Corporation","D",2020,1,
-582.24,-582.51,6526.00,0.00,0.00,0.00,0.00,6526.00,2621.19,2133.16,475.89,316.97,7108.51,"EV","ExpressJet Airlines LLC","L",2020,1,
-526.11,-2234.28,664.20,0.00,617.63,821.83,6.09,2178.27,1504.70,356.00,174.88,423.78,4412.55,"SY","Sun Country Airlines d/b/a MN Airlines","L",2020,2,
-456.32,199.11,0.00,310.61,29096.65,0.00,0.00,41639.84,16389.78,7162.09,,1757.65,41440.72,"M6","Amerijet International","L",2020,1,
-405.98,-1909.67,0.00,0.00,0.00,5903.95,0.00,10535.98,7986.68,2691.83,773.64,282.55,12445.64,"8C","Air Transport International","A",2020,2,
-363.00,-884.00,248.00,0.00,15.00,1.00,5.00,403.00,497.00,132.00,138.00,281.00,1287.00,"WN","Southwest Airlines Co.","L",2020,2,
-329.81,-327.18,0.00,0.00,1844.91,0.00,0.00,2025.86,127.50,66.76,0.00,5.44,2353.04,"U7","USA Jet Airlines Inc.","I",2020,2,
-264.89,-264.89,0.00,0.00,0.00,616.31,1739.92,5554.01,1388.50,733.25,0.00,0.00,5818.90,"0WQ","Avjet Corporation","D",2020,3,
-238.33,-389.56,293.63,0.00,0.00,0.00,0.00,293.63,262.38,144.00,36.61,27.25,683.19,"EV","ExpressJet Airlines LLC","L",2020,3,
-197.24,-190.34,1587.75,0.00,0.00,0.00,0.00,1587.75,748.39,671.02,189.97,8.35,1778.09,"9E","Endeavor Air Inc.","L",2020,1,
-181.87,-180.60,,,,,,37.83,69.46,60.53,,,218.43,"KLQ","Kalitta Charters II","I",2020,1,
-178.77,-744.61,1291.85,0.00,0.00,0.00,18.92,1310.76,747.13,723.74,122.54,55.10,2055.37,"OO","SkyWest Airlines Inc.","L",2020,3,
-172.38,-172.38,0.00,3557.41,2832.35,0.00,190.14,12386.18,3575.36,2991.37,,,12558.55,"NC","Northern Air Cargo Inc.","D",2020,1,
-152.65,-107.45,2173.29,0.00,0.00,0.00,36.14,2209.43,933.53,737.78,194.52,78.01,2316.88,"OO","SkyWest Airlines Inc.","L",2020,1,
-145.76,-4873.07,0.00,0.00,0.00,252.67,0.00,254.61,1066.29,536.37,151.92,260.75,5127.68,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","D",2020,2,
-144.07,-144.07,0.00,2973.28,2367.27,0.00,158.92,10352.36,2988.28,2500.19,,,10496.43,"NC","Northern Air Cargo Inc.","I",2020,1,
-105.35,-446.70,231.99,0.00,0.00,0.00,0.00,340.36,204.90,79.61,0.00,0.00,787.06,"3M","Silver Airways","I",2020,3,
-105.20,212.92,0.00,,711.42,0.00,0.00,1406.05,504.21,599.29,0.00,14.87,1193.13,"ABX","ABX Air Inc","A",2020,1,
-97.62,-97.67,398.36,0.00,0.00,0.00,0.07,398.43,132.50,227.09,53.50,35.30,496.10,"CP","Compass Airlines","L",2020,1,
-66.85,-148.01,0.00,0.00,76374.70,0.00,0.00,210371.32,173277.76,596.87,0.00,22329.28,210519.33,"PO","Polar Air Cargo Airways","P",2020,1,
-61.47,638.53,0.00,0.00,185444.84,0.00,0.00,295197.36,256125.20,456.15,0.00,22701.69,294558.83,"PO","Polar Air Cargo Airways","P",2020,2,
-59.20,-42.42,0.00,0.00,3560.08,0.00,0.00,6241.16,5376.60,11.10,0.00,548.40,6283.58,"PO","Polar Air Cargo Airways","A",2020,3,
-45.30,-441.94,0.00,0.00,11501.24,0.00,0.00,13529.33,7150.62,2013.74,0.00,517.75,13971.27,"WI","Sky Lease Cargo","I",2020,1,
-44.67,-267.51,924.35,0.00,0.00,0.00,0.00,932.86,420.81,244.04,116.41,13.41,1200.37,"YX","Republic Airline","L",2020,2,
-36.65,-38.78,0.00,0.00,1997.94,0.00,0.00,5503.25,4567.80,15.61,0.00,584.13,5542.03,"PO","Polar Air Cargo Airways","A",2020,1,
-33.52,128.98,0.00,0.00,43050.14,0.00,0.00,68528.67,59477.50,105.89,0.00,5270.09,68399.69,"PO","Polar Air Cargo Airways","D",2020,2,
-19.84,5.96,0.00,0.00,0.00,3747.49,225.63,4187.84,1314.50,763.79,307.26,509.25,4181.89,"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","I",2020,2,
