"YEAR","MONTH","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","EMPFULL","EMPPART","EMPTOTAL","EMPFTE",
2019,11,20447,"U7","USA Jet Airlines Inc.","U7","USA Jet Airlines Inc.",2,2,388,0,388,388,
2019,11,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.",3,3,79301,11814,91115,85208,
2019,11,20195,"WI","Sky Lease Cargo","WI","Sky Lease Cargo",2,2,309,46,355,332,
2019,11,20310,"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,1,157,5,162,160,
2019,11,19393,"WN","Southwest Airlines Co.","WN","Southwest Airlines Co.",3,3,59605,2282,61887,60746,
2019,11,20377,"X9","Omni Air International LLC","X9","Omni Air International LLC",2,2,1024,2,1026,1025,
2019,11,20207,"XP","XTRA Airways","XP","XTRA Airways",1,1,16,9,25,21,
2019,11,20378,"YV","Mesa Airlines Inc.","YV","Mesa Airlines Inc.",2,2,3585,22,3607,3596,
2019,11,20452,"YX","Republic Airline","YX","Republic Airline",3,3,6071,295,6366,6219,
2019,11,20046,"ZW","Air Wisconsin Airlines Corp","ZW","Air Wisconsin Airlines Corp",2,2,1408,414,1822,1615,
